Code NAF|Définition|Groupe 
1420Z|fabrication d’articles en fourrure|Fabrication de textiles, industries de l’habillement, industrie du cuir et de la chaussure
1431Z|fabrication d’articles chaussants à mailles|Fabrication de textiles, industries de l’habillement, industrie du cuir et de la chaussure
1439Z|fabrication d’autres articles à mailles|Fabrication de textiles, industries de l’habillement, industrie du cuir et de la chaussure
1511Z|apprêt et tannage des cuirs ; préparation et teinture des fourrures|Fabrication de textiles, industries de l’habillement, industrie du cuir et de la chaussure
1512Z|fabrication d’articles de voyage, de maroquinerie et de sellerie|Fabrication de textiles, industries de l’habillement, industrie du cuir et de la chaussure
1520Z|fabrication de chaussures|Fabrication de textiles, industries de l’habillement, industrie du cuir et de la chaussure
2611Z|fabrication de composants électroniques|Fabrication de produits informatiques, électroniques et optiques
2612Z|fabrication de cartes électroniques assemblées|Fabrication de produits informatiques, électroniques et optiques
2620Z|fabrication d’ordinateurs et d’équipements périphériques|Fabrication de produits informatiques, électroniques et optiques
2630Z|fabrication d’équipements de communication|Fabrication de produits informatiques, électroniques et optiques
2640Z|fabrication de produits électroniques grand public|Fabrication de produits informatiques, électroniques et optiques
2651A|fabrication d’équipements d’aide à la navigation|Fabrication de produits informatiques, électroniques et optiques
2651B|fabrication d’instrumentation scientifique et technique|Fabrication de produits informatiques, électroniques et optiques
2652Z|horlogerie|Fabrication de produits informatiques, électroniques et optiques
2660Z|fabrication d’équipements d’irradiation médicale, d’équipements électromédicaux et électrothérapeutiques|Fabrication de produits informatiques, électroniques et optiques
2670Z|fabrication de matériels optique et photographique|Fabrication de produits informatiques, électroniques et optiques
2680Z|fabrication de supports magnétiques et optiques|Fabrication de produits informatiques, électroniques et optiques
1910Z|cokéfaction|Cokéfaction et raffinage
1920Z|raffinage du pétrole|Cokéfaction et raffinage
0510Z|extraction de houille|Industries extractives
0520Z|extraction de lignite|Industries extractives
0610Z|extraction de pétrole brut|Industries extractives
0620Z|extraction de gaz naturel|Industries extractives
0710Z|extraction de minerais de fer|Industries extractives
0721Z|extraction de minerais d’uranium et de thorium|Industries extractives
0729Z|extraction d’autres minerais de métaux non ferreux|Industries extractives
0811Z|extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d’ardoise|Industries extractives
0812Z|exploitation de gravières et sablières, extraction d’argiles et de kaolin|Industries extractives
0891Z|extraction des minéraux chimiques et d’engrais minéraux|Industries extractives
0892Z|extraction de tourbe|Industries extractives
0893Z|production de sel|Industries extractives
0899Z|autres activités extractives n.c.a.|Industries extractives
